Dish_ID,Dish_Name,Category,Meal_Type,Description,Availability,Tag
DISH-HERBS-MARINATED-CHICKEN-BREAST,Herbs Marinated Chicken Breast,Protein,Lunch,,Yes,Elite
DISH-PANEER-GRILLED,Paneer grilled,Protein,Lunch,,Yes,Elite
DISH-SOYU-EGG,Soyu egg,Protein,Lunch,,Yes,Elite
DISH-STEAMED-EDAMAME,Steamed Edamame,Protein,Dinner,,Yes,Elite
DISH-CBP-PROTEIN-SMOOTHIE,CBP Protein Smoothie,Protein smoothies,,,Yes,
DISH-CBP-PROTEIN-SMOOTHIE-MR,CBP Protein Smoothie (MR),Protein smoothies,Drink,,Yes,Weight Loss
DISH-CHIA-PB-PROTEIN-SMOOTHIE-MR,Chia PB Protein Smoothie (MR),Protein smoothies,Drink,,Yes,Weight Loss
DISH-CHIA-PEANUT-BUTTER-PROTEIN-SMOOTHIE,Chia Peanut Butter Protein Smoothie,Protein smoothies,,,Yes,
DISH-CHIA-PROTEIN-SMOOTHIE-CHOCOLATE,Chia Protein Smoothie Chocolate,Protein smoothies,,,Yes,
DISH-MESCLUN-QUINOA-SALAD,Mesclun Quinoa Salad,Salads,Lunch,,Yes,Elite
DISH-PULLED-CHICKEN-CAESAR-SALAD,Pulled Chicken Caesar Salad,Salads,Lunch,,Yes,Elite
DISH-YUZU-CORN-SALAD,Yuzu Corn Salad,Salads,Lunch,,Yes,Elite
DISH-FRENCH-ONION-GRILLED-CHEESE,French Onion Grilled Cheese,Sandwich,Lunch,,Yes,Elite
DISH-FURIKAKE-AVOCADO-TOAST-WITH-JAMMY-EGGS,Furikake Avocado Toast with Jammy Eggs,Sandwich,Lunch,,Yes,Elite
DISH-SOUR-DOUGH-GRILLED-CHICKEN-AND-AVOCADO-SANDWICH,Sour Dough Grilled Chicken and Avocado Sandwich,Sandwich,Lunch,,Yes,Elite
DISH-CHOCOLATE-CHIPS-OATS-COOKIES,Chocolate Chips Oats Cookies,Snacks,Snack,,Yes,Elite
DISH-GREEK-YOGURT-GRANOLA-BOWL,Greek Yogurt Granola Bowl,Snacks,Snack,,Yes,Elite
DISH-PEANUT-BUTTER-AND-BANANA-TOAST,Peanut butter and banana toast,Snacks,Snack,,Yes,Elite
DISH-PROTEIN-PEANUT-BUTTER-BROWNIE,Protein Peanut Butter Brownie,Snacks,Snack,,Yes,Elite
DISH-RAGI-COLLAGEN-CHICKEN-SOUP,Ragi collagen chicken soup,Soup,Dinner,,Yes,Elite
DISH-VEGETABLE-MILLET-BROTH,Vegetable millet broth,Soup,Dinner,,Yes,Elite
