Plan,Data.Column1,Data.Column2,Data.Column3,Data.Column4,Data.Column5,Data.Column6,Data.Column7,Calories,Protein,Carbohydrates,Fats,Fiber
Elite-Non-Veg Plan-Dinner,Week 2,Thu,Ragi Jowar Chapathi,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber Raita,661,42,80,24,17
Elite-Non-Veg Plan-Dinner,Week 2,Fri,Pulled Chicken Caesar Salad,,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,705,50,26,43,7
Elite-Non-Veg Plan-Dinner,Week 2,Sat,Ragi Chicken Collagen Broth,Steamed Edamame,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,358,31,30,22,7
Elite-Non-Veg Plan-Dinner,Week 3,Mon,Pulled Chicken Caesar Salad,,Shirazi salad,Steamed Edamame,Crunchy Nut mix,718,51,25,45,7
Elite-Non-Veg Plan-Dinner,Week 3,Tue,Grilled Chicken and Avocado Sandwich,Soyu egg,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,768,51,53,44,12
Elite-Non-Veg Plan-Dinner,Week 3,Wed,Yuzu Corn Salad,Herbs Marinated Chicken Breast,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,624,43,49,36,10
Elite-Non-Veg Plan-Dinner,Week 3,Thu,Vegetable millet broth,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,549,41,48,29,12
Elite-Non-Veg Plan-Dinner,Week 3,Fri,Protein Chicken Collagen Millet Kanji,Omlet,Coconut Sambol,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,582,44,44,29,10
Elite-Non-Veg Plan-Dinner,Week 3,Sat,Mesclun Quinoa Salad,Soyu egg,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,738,29,65,45,12
Elite-Non-Veg Plan-Dinner,Week 4,Mon,Furikake Avocado Toast with Jammy Eggs,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Maple Togarashi Spiced Nuts,775,59,58,45,15
